latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,source,brightness,bright_t31
40.82246,-114.25563,324.62,0.39,0.36,2020-10-30,929,N,VIIRS,n,2,276.69,2.3,N,2,VIIRS_SNPP_SP,,
41.11698,-123.24687,315.9,0.56,0.51,2020-10-30,929,N,VIIRS,n,2,286.51,2.06,N,0,VIIRS_SNPP_SP,,
41.11735,-123.25227,303.56,0.56,0.51,2020-10-30,929,N,VIIRS,n,2,285.74,1.86,N,0,VIIRS_SNPP_SP,,
41.1207,-123.23122,311.07,0.56,0.51,2020-10-30,929,N,VIIRS,n,2,284.53,2.67,N,0,VIIRS_SNPP_SP,,
41.1211,-123.23697,318.86,0.56,0.51,2020-10-30,929,N,VIIRS,n,2,287.63,2.67,N,0,VIIRS_SNPP_SP,,
41.12146,-123.24221,301.97,0.56,0.51,2020-10-30,929,N,VIIRS,n,2,287.18,2.06,N,0,VIIRS_SNPP_SP,,
41.12183,-123.24748,303.27,0.56,0.51,2020-10-30,929,N,VIIRS,n,2,287.73,2.06,N,0,VIIRS_SNPP_SP,,
41.1222,-123.25296,302.97,0.56,0.51,2020-10-30,929,N,VIIRS,n,2,286.52,1.86,N,0,VIIRS_SNPP_SP,,
41.1255,-123.23115,295.03,0.56,0.51,2020-10-30,929,N,VIIRS,n,2,283.34,1.05,N,0,VIIRS_SNPP_SP,,
41.12592,-123.23723,297.16,0.56,0.51,2020-10-30,929,N,VIIRS,n,2,285.65,1.05,N,0,VIIRS_SNPP_SP,,
41.13031,-123.23109,302.12,0.56,0.51,2020-10-30,929,N,VIIRS,n,2,283.49,1.05,N,0,VIIRS_SNPP_SP,,
37.38788,-118.97105,301.92,0.47,0.4,2020-10-30,930,N,VIIRS,n,2,279.09,1.15,N,0,VIIRS_SNPP_SP,,
37.39148,-118.96997,299.76,0.47,0.4,2020-10-30,930,N,VIIRS,n,2,279.28,1.15,N,0,VIIRS_SNPP_SP,,
37.39539,-119.00204,307.64,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,273.7,1.97,N,0,VIIRS_SNPP_SP,,
37.39603,-119.00739,312.53,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,275.88,1.97,N,0,VIIRS_SNPP_SP,,
37.39668,-119.01269,342.24,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,281.59,4.87,N,0,VIIRS_SNPP_SP,,
37.39731,-119.01792,318.07,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,277.38,4.87,N,0,VIIRS_SNPP_SP,,
37.39745,-118.95773,297.66,0.47,0.4,2020-10-30,930,N,VIIRS,n,2,278.45,1.65,N,0,VIIRS_SNPP_SP,,
37.39795,-119.02313,311.89,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,276.26,2.67,N,0,VIIRS_SNPP_SP,,
37.39836,-118.99574,295.62,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,277.8,2.4,N,0,VIIRS_SNPP_SP,,
37.39902,-119.00116,326.56,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,275.12,2.83,N,0,VIIRS_SNPP_SP,,
37.39919,-119.03341,296.93,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,276.62,0.97,N,0,VIIRS_SNPP_SP,,
37.3998,-119.03842,299.97,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,278.86,0.97,N,0,VIIRS_SNPP_SP,,
37.40158,-119.0223,303.84,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,273.23,3.19,N,0,VIIRS_SNPP_SP,,
37.40198,-118.9948,322.71,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,277.72,2.4,N,0,VIIRS_SNPP_SP,,
37.40221,-119.0275,332.83,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,280.03,3.19,N,0,VIIRS_SNPP_SP,,
37.40265,-119.00028,317.33,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,274.43,2.83,N,0,VIIRS_SNPP_SP,,
37.40283,-119.0326,313.47,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,276.74,2.2,N,0,VIIRS_SNPP_SP,,
37.40348,-118.94597,302.96,0.47,0.4,2020-10-30,930,N,VIIRS,n,2,274.82,1.08,N,0,VIIRS_SNPP_SP,,
37.40645,-118.94825,301.26,0.47,0.4,2020-10-30,930,N,VIIRS,n,2,277.89,1.77,N,0,VIIRS_SNPP_SP,,
37.41658,-119.06643,298.77,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,278.06,1.15,N,0,VIIRS_SNPP_SP,,
37.41725,-119.07222,296.48,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,279.26,1.15,N,0,VIIRS_SNPP_SP,,
37.41784,-118.94982,314.69,0.47,0.4,2020-10-30,930,N,VIIRS,n,2,279.52,1.52,N,0,VIIRS_SNPP_SP,,
37.4179,-119.07787,299.49,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,278.06,3.18,N,0,VIIRS_SNPP_SP,,
37.41838,-119.06812,299.23,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,278.39,1.12,N,0,VIIRS_SNPP_SP,,
37.41909,-119.07388,311.75,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,279.2,1.75,N,0,VIIRS_SNPP_SP,,
37.41977,-119.07948,307.4,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,278.16,1.75,N,0,VIIRS_SNPP_SP,,
37.42088,-119.07118,308.22,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,277.95,1.15,N,0,VIIRS_SNPP_SP,,
37.42143,-118.94859,295.42,0.47,0.4,2020-10-30,930,N,VIIRS,n,2,275.97,1.52,N,0,VIIRS_SNPP_SP,,
37.42154,-119.07685,334.51,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,281.03,3.18,N,0,VIIRS_SNPP_SP,,
37.42218,-119.0824,326.01,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,279.75,3.18,N,0,VIIRS_SNPP_SP,,
37.4227,-119.07281,327.49,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,279.87,4.4,N,0,VIIRS_SNPP_SP,,
37.42339,-119.07841,341.04,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,284.07,4.4,N,0,VIIRS_SNPP_SP,,
37.42516,-119.07573,308.54,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,277.99,1.71,N,0,VIIRS_SNPP_SP,,
37.42581,-119.0813,312.85,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,278.27,1.71,N,0,VIIRS_SNPP_SP,,
37.42646,-119.08691,313.12,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,277.73,2.58,N,0,VIIRS_SNPP_SP,,
37.42838,-119.08861,309.93,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,278.37,3.95,N,0,VIIRS_SNPP_SP,,
37.44033,-119.07713,296.5,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,276.19,0.8,N,0,VIIRS_SNPP_SP,,
37.44615,-119.09492,297.69,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,278.43,1.97,N,0,VIIRS_SNPP_SP,,
37.45048,-119.09982,311.73,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,278.61,2.2,N,0,VIIRS_SNPP_SP,,
37.4524,-119.11622,296.49,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,279.84,1.53,N,0,VIIRS_SNPP_SP,,
37.45395,-121.93306,300.03,0.43,0.46,2020-10-30,930,N,VIIRS,n,2,280.47,0.57,N,2,VIIRS_SNPP_SP,,
37.45413,-119.09894,315.78,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,279.57,2.2,N,0,VIIRS_SNPP_SP,,
37.45473,-119.23363,298.98,0.49,0.4,2020-10-30,930,N,VIIRS,n,2,283.78,0.88,N,0,VIIRS_SNPP_SP,,
37.45476,-119.10425,301.13,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,279.98,1.59,N,0,VIIRS_SNPP_SP,,
37.45538,-119.1096,303.45,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,279.29,1.59,N,0,VIIRS_SNPP_SP,,
37.45777,-119.09795,317.75,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,278.38,3.51,N,0,VIIRS_SNPP_SP,,
37.45968,-119.11416,311.46,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,281.01,1.52,N,0,VIIRS_SNPP_SP,,
37.46036,-119.11997,306.64,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,279.38,1.52,N,0,VIIRS_SNPP_SP,,
37.46202,-119.10216,327.01,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,282.46,5.04,N,0,VIIRS_SNPP_SP,,
37.46331,-119.11308,303.42,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,279.98,1.52,N,0,VIIRS_SNPP_SP,,
37.46468,-119.12474,299.73,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,280.03,1.33,N,0,VIIRS_SNPP_SP,,
37.46537,-119.13062,305.48,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,280.79,1.33,N,0,VIIRS_SNPP_SP,,
37.46763,-119.11781,301.13,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,279.84,1.37,N,0,VIIRS_SNPP_SP,,
37.46833,-119.12381,318.25,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,281.49,2.2,N,0,VIIRS_SNPP_SP,,
37.46903,-119.12975,304.72,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,280.68,2.2,N,0,VIIRS_SNPP_SP,,
37.47199,-119.12292,316.11,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,282.36,2.2,N,0,VIIRS_SNPP_SP,,
37.47566,-119.12225,320.87,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,282.68,2.19,N,0,VIIRS_SNPP_SP,,
37.47637,-119.12821,306.75,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,278.78,2.19,N,0,VIIRS_SNPP_SP,,
37.48232,-119.11489,298.06,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,276.48,1.19,N,0,VIIRS_SNPP_SP,,
37.48805,-119.1316,317.8,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,278.01,2.61,N,0,VIIRS_SNPP_SP,,
37.49169,-119.13052,336.19,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,283.38,6.52,N,0,VIIRS_SNPP_SP,,
37.5094,-119.12135,307.2,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,277.41,1.64,N,0,VIIRS_SNPP_SP,,
37.51006,-119.12685,301.68,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,278.14,1.45,N,0,VIIRS_SNPP_SP,,
37.51613,-119.11475,307.98,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,277.48,2.21,N,0,VIIRS_SNPP_SP,,
37.51917,-119.10875,318.71,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,285.07,30.99,N,0,VIIRS_SNPP_SP,,
37.5198,-119.11404,327.71,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,279.4,10.61,N,0,VIIRS_SNPP_SP,,
37.52289,-119.10841,326.0,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,298.4,30.99,N,0,VIIRS_SNPP_SP,,
37.52352,-119.11366,317.73,0.48,0.4,2020-10-30,930,N,VIIRS,n,2,278.9,10.61,N,0,VIIRS_SNPP_SP,,
